2021-04-03 14:38:10 INFO  Login:108 - Login successful: admin
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.datasource.validationQuery as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.jackson.date-format as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.jackson.time-zone as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.rabbitmq.host as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.rabbitmq.password as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.rabbitmq.port as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.rabbitmq.publisher-confirms as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.rabbitmq.username as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.rabbitmq.virtual-host as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.redis.database as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.redis.host as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.redis.password as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.redis.pool.max-active as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.redis.pool.max-idle as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.redis.pool.max-wait as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.redis.pool.min-idle as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.redis.port as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.redis.timeout as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/spring.session.store-type as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/zipkin.compressionEnabled as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/zipkin.connectTimeout as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/zipkin.flushInterval as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/zipkin.readTimeout as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/application,dev/zipkin.url as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/eureka,dev/eureka.client.fetchRegistry as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/eureka,dev/eureka.client.registerWitheureka,dev as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/eureka,dev/server.port as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/gateway,dev/server.port as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/gateway,dev/spring.cloud.gateway.discovery.locator.enabled as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/gateway,dev/spring.cloud.gateway.routes[0].filters[0] as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/gateway,dev/spring.cloud.gateway.routes[0].id as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/gateway,dev/spring.cloud.gateway.routes[0].predicates[0] as overwrite is not enabled!
2021-04-03 15:01:56 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/gateway,dev/spring.cloud.gateway.routes[0].uri as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,p8082,dev/server.port as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,p8082,dev/username as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,p8083,dev/server.port as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,p8083,dev/username as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,dev/errormsg,dev as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,dev/logging.level.com.itheima as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,dev/logging.level.io.lettuce.core as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,dev/logging.level.root as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,dev/server.port as overwrite is not enabled!
2021-04-03 15:02:57 INFO  ZooKeeperUtil:207 - Skipping update for existing property /prize/api,dev/spring.application.name as overwrite is not enabled!
